personLabel	aliasLabel
Mustafa Kemal Atatürk	Ghazi Mustapha Kemal Pasha	True
Mustafa Kemal Atatürk	K. Atatürk	True
Mustafa Kemal Atatürk	Kamal Ataturk	True
Mustafa Kemal Atatürk	Kamâl Atatürk	True
Mustafa Kemal Atatürk	Kemal Ataturk	True
Mustafa Kemal Atatürk	M. Kemal Ataturk	True
Mustafa Kemal Atatürk	M. Kemal Atatürk	True
Mustafa Kemal Atatürk	Mustafa K. Atatürk	True
George Washington	American Fabius	True
George Washington	Father of the United States	True
George Washington	The American Fabius	True
Harivansh Rai Bachchan	Bachchan	True
Harivansh Rai Bachchan	Harivansh Rai Shrivastav	True
Richard Nixon	Dick Nixon	True
Richard Nixon	Nixon	True
Richard Nixon	President Nixon	True
Richard Nixon	R. M. Nixon	True
Richard Nixon	R. Nixon	True
Richard Nixon	Richard M. Nixon	True
Richard Nixon	Richard Milhous Nixon	True
Richard Nixon	Tricky Dick	True
Jean Jaurès	Auguste Marie Joseph Jean Leon Jaures	True
Jean Jaurès	Auguste Marie Joseph Jean Léon Jaurès	True
Jean Jaurès	Jean Leon Jaures	True
Jean Jaurès	Jean Léon Jaurès	True
Maxim Gorky	Gorky	True
James Callaghan	Jim Callaghan	True
James Callaghan	James Callaghan, Baron Callaghan	True
James Callaghan	James, Baron Callaghan	True
James Callaghan	Leonard James Callaghan	True
James Callaghan	Leonard James, Baron Callaghan	True
James Callaghan	Lord Callaghan	True
James Callaghan	Lord Callaghan of Cardiff	True
Gerald Ford	Ford	True
Gerald Ford	Gerald R. Ford	True
Gerald Ford	G. R. Ford	True
Gerald Ford	Gerald Ford Jr.	True
Gerald Ford	"Gerald Rudolph ""Jerry"" Ford Jr."	True
Gerald Ford	Gerald Rudolph Ford	True
Gerald Ford	Gerald Rudolph Ford Jr.	True
Gerald Ford	Leslie Lynch King Jr.	True
Gerald Ford	President Ford	True
Adolf Butenandt	Adolf Friedrich Johann Butenandt	True
Willem Drees	W. Drees	True
Maxim Gorky	Maksim Gorky	True
Mao Zedong	Lun-chi	True
Mao Zedong	Mao Jun-chih	True
Mao Zedong	Máo Rùnzhī	True
Mao Zedong	Mao Zédong	True
Mao Zedong	Mau Zerdong	True
Mao Zedong	Mouh Jaahk-dung	True
Jan II Carondelet	Jean II Carondelet	True
Eduardo Frei Ruiz-Tagle	Eduardo Alfredo Juan Bernardo Frei Ruiz-Tagle	True
Philip the Arab	Marcus Julius Philippus Arabs	True
Philip the Arab	Philippus Arabs	True
Pierre-Joseph Proudhon	P.-J. Proudhon	True
Pierre-Joseph Proudhon	Pʹer Zhozef Prudon	True
Pierre-Joseph Proudhon	Pʻu-lu-tung	True
Pierre-Joseph Proudhon	Pierre Joseph Proudhon	True
Pierre-Joseph Proudhon	Purūdon	True
Geoffrey Chaucer	Chaucer	True
Tacitus	C. Cornelius Tacitus	True
Tacitus	Cornelius Tacitus	True
Tacitus	Gaius Cornelius Tacitus	True
Tacitus	P. Cornelius Tacitus	True
Tacitus	Publius Cornelius Tacitus	True
Tacitus	Publius Cornelius Tacitus Caecina Paetus	True
Georges Pompidou	Georges Jean Raymond Pompidou	True
Mao Zedong	Mao Tse-tung	True
Mao Zedong	Mao Ze Dong	True
Mao Zedong	Máo Zédōng	True
Mao Zedong	Máo Zhǔxí	True
Mao Zedong	Mao² Tsê²-tung¹	True
Mao Zedong	Maozedong	True
Mao Zedong	Mau Tzerdong	True
Mao Zedong	Mau Zeh-ton	True
Mao Zedong	Máu Zéh-ton	True
Mao Zedong	Mo Chhet-tung	True
Mao Zedong	Mô Chhe̍t-tûng	True
Mao Zedong	Mo Tek-tong	True
Mao Zedong	Mô͘ Te̍k-tong	True
Mao Zedong	Moo Tik-tang	True
Mao Zedong	Môo Ti̍k-tang	True
Mao Zedong	Mou Zaak-dung	True
Mao Zedong	Rùnzhī	True
Mao Zedong	Tse Toung Mao	True
Mao Zedong	ㄇㄠˊ ㄗㄜˊ ㄉㄨㄥ	True
Mao Zedong	毛主席	True
Mao Zedong	毛泽东	True
Mao Zedong	毛澤東	True
Mao Zedong	润之	True
Mao Zedong	潤之	True
Philippe Pétain	Henri Philippe Benoni Omer Joseph Petain	True
Philippe Pétain	Henri Philippe Benoni Omer Joseph Pétain	True
Philippe Pétain	Marshal Petain	True
Philippe Pétain	Marshal Pétain	True
Philippe Pétain	Philippe Petain	True
Adolphe Thiers	Louis Adolphe Thiers	True
Adolphe Thiers	Louis-Adolphe Thiers	True
Adolphe Thiers	Marie Joseph Louis Adolphe Thiers	True
Balbinus	Decimus Caelius Calvinus Balbinus	True
Mao Zedong	Mao Runzhi	True
Lord Byron	George Gordon	True
Lord Byron	Byron	True
Lord Byron	George Gordon Byron, 6th Baron Byron	True
Mao Zedong	Chairman Mao Zedong	True
Lord Byron	Bairon	True
Sebastián Piñera	Miguel Juan Sebastián Piñera Echenique	True
Sebastián Piñera	Sebastián Piñera Echenique	True
Pupienus	Marcus Clodius Pupienus Maximus	True
Pupienus	Pupienus Maximus	True
Lord Byron	6th Baron Byron George Gordon Byron	True
Lord Byron	6th Baron Byron George Gordon Noel	True
Lord Byron	Bajron	True
Lord Byron	Baron Byron George Gordon Byron	True
Lord Byron	Bayrěn	True
Lord Byron	Bayron	True
Lord Byron	Džordž Gordon Bajron	True
Lord Byron	George Gordon Byron	True
Lord Byron	George Gordon Byron Byron	True
Lord Byron	George Gordon Byron Lord	True
Lord Byron	George Gordon Byron, Baron Byron	True
Lord Byron	George Gordon Noël Byron Byron	True
Lord Byron	Jerzy Gordon Byron	True
Lord Byron	Noel Byron	True
Lord Byron	Pai-lun	True
Lord Byron	Payrěn	True
Lord Byron	Xhorxh Bajroni	True
Philip the Arab	Philip	True
Gordon Brown	J. Gordon Brown	True
Gordon Brown	James Gordon Brown	True
Johann Wolfgang von Goethe	goethe	True
Johann Wolfgang von Goethe	j. w. von goethe	True
Johann Wolfgang von Goethe	joh. wolfg. von goethe	True
Johann Wolfgang von Goethe	johann wolfgang von goethe	True
Johann Wolfgang von Goethe	Johann Wolfgang Von Goethe	True
Emperor Gaozu of Tang	Gaozu	True
Emperor Gaozu of Tang	Li Yuan	True
Emperor Gaozu of Tang	Taiwu	True
Emperor Gaozu of Tang	Shude	True
Manuel Valls	Manuel Carlos Valls Galfetti	True
Stephen Harper	HE Stephen Harper	True
Stephen Harper	Stephen Joseph Harper	True
Stephen Harper	The Right Hon. Stephen Harper	True
Pythagoras	Pythagoras from Samos	True
Pythagoras	Samian Sage	True
Lyndon B. Johnson	LBJ	True
Lyndon B. Johnson	L. B. Johnson	True
Lyndon B. Johnson	Lyndon Baines Johnson	True
Lyndon B. Johnson	Lyndon Johnson	True
Lyndon B. Johnson	President Johnson	True
Kessai Note	Kessai H. Note	True
Kessai Note	Kessai Hesa Note	True
Marine Le Pen	Marion Anne Perrine	True
Marine Le Pen	Marion Anne Perrine Le Pen	True
Marine Le Pen	Marion Le Pen	True
Gordon Brown	HE Gordon Brown	True
Mao Zedong	Chairman Mao	True
Mao Zedong	Jeon-zi	True
Mao Zedong	Jun-chih	True
Mao Zedong	Mao	True
Dadabhai Naoroji	Grand Old Man of India	True
Emperor Gaozu of Tang	Emperor Gaozu	True
Emperor Gaozu of Tang	Li yuan	True
Emperor Gaozu of Tang	Lǐ Yuān	True
Emperor Gaozu of Tang	Shenyao dasheng daguang xiao huangdi	True
Christopher Loeak	Christopher J. Loeak	True
Christopher Loeak	Christopher Jorebon Loeak	True
Ronald Reagan	President Reagan	True
Ronald Reagan	President Ronald Reagan	True
Ronald Reagan	R. W. Reagan	True
Ronald Reagan	Ronald W Reagan	True
Ronald Reagan	Ronald W. Reagan	True
Ronald Reagan	Ronald Wilson Reagan	True
Abraham Lincoln	Lincoln	True
Dwight D. Eisenhower	Ike	True
John F. Kennedy	John Kennedy	True
John F. Kennedy	Kennedy	True
John F. Kennedy	Jack Kennedy	True
John F. Kennedy	JFK	True
John F. Kennedy	John Fitzgerald Kennedy	True
Jean-Luc Mélenchon	Santerre	True
Johann Wolfgang von Goethe	Goethe	True
Abraham Lincoln	Honest Abe	True
Abraham Lincoln	A. Lincoln	True
Abraham Lincoln	Abe Lincoln	True
Abraham Lincoln	President Lincoln	True
Abraham Lincoln	Uncle Abe	True
Kim Jong-il	Kim Jong Il	True
Kim Jong-il	Yuri Irsenovich Kim	True
Dwight D. Eisenhower	D. Eisenhower	True
Dwight D. Eisenhower	David Dwight Eisenhower	True
Dwight D. Eisenhower	"Dwight David ""Ike"" Eisenhower"	True
Dwight D. Eisenhower	Dwight David Eisenhower	True
Dwight D. Eisenhower	Dwight Eisenhower	True
Dwight D. Eisenhower	Eisenhower	True
Dwight D. Eisenhower	President Eisenhower	True
John F. Kennedy	J. F. Kennedy	True
John F. Kennedy	JF Kennedy	True
John F. Kennedy	"John Fitzgerald ""Jack"" Kennedy"	True
John F. Kennedy	President Kennedy	True
Pythagoras	Pythagoras of Samos	True
Jean-Luc Mélenchon	Jean-Luc Antoine Pierre Mélenchon	True
Sonia Sotomayor	Justice Sotomayor	True
Sonia Sotomayor	Sonia Maria Sotomayor	True
Olivier Besancenot	Olivier Christophe Besancenot	True
Hélène Geoffroy	Helene Geoffroy	True
George W. Bush	Bush	True
George W. Bush	Bush 43	True
George W. Bush	Bush Jr.	True
George W. Bush	Bush, George W.	True
George W. Bush	Dubya	True
George W. Bush	George Bush	True
George W. Bush	George Walker Bush	True
George W. Bush	GWB	True
George W. Bush	President Bush	True
George W. Bush	President George W. Bush	True
Imata Kabua	Imata Jabro Kabua	True
Arlette Laguiller	Arlette Yvonne Laguiller	True
Tipu Sultan	Tippoo Sultan	True
Subhas Chandra Bose	Netaji	True
Rahul Gandhi	RaGa	True
Joe Biden	JRB	True
Helmut Schmidt	Helmut Heinrich Waldemar Schmidt	True
Konrad Adenauer	Konrad Hermann Joseph Adenauer	True
Alex Salmond	Alexander Elliot Anderson Salmond	True
Seneca	Seneca the Younger	True
Willy Brandt	Gunnar Gaasland	True
Willy Brandt	Herbert Ernst Karl Frahm	True
Willy Brandt	Herbert Frahm	True
Seneca	Lucio Anneo Seneca	True
John McCain	John S. McCain, III	True
John McCain	John Sidney McCain III	True
Mariano Rajoy	Mariano Rajoy Brey	True
Mariano Rajoy	Mariano Rajoy y Brey	True
Mariano Rajoy	Rajoy	True
Subhas Chandra Bose	Subhash Chandra Bose	True
Eduardo Frei Montalva	Eduardo Nicanor Frei Montalva	True
Joachim Gauck	Joachim Wilhelm Gauck	True
Joe Biden	Joe Biden Jr.	True
Joe Biden	Joe R. Biden	True
Joe Biden	Joe R. Biden Jr.	True
Joe Biden	Joseph Biden	True
Joe Biden	Joseph R. Biden	True
Joe Biden	Joseph R. Biden Jr.	True
Joe Biden	Joseph R. Biden, Jr.	True
Joe Biden	Joseph Robinette Biden	True
Joe Biden	Joseph Robinette Biden Jr.	True
Joe Biden	POTUS 46	True
Joe Biden	President Biden	True
Joe Biden	President Joe Biden	True
Joe Biden	President Joseph Biden	True
Joe Biden	President Joseph Biden Jr.	True
Joe Biden	President Joseph R. Biden	True
Joe Biden	President Joseph R. Biden Jr.	True
Joe Biden	President Joseph Robinette Biden	True
Joe Biden	President Joseph Robinette Biden Jr.	True
Seneca	Annaeus Seneca	True
Seneca	L. Annæus Seneca	True
Seneca	Lucius Annaeus Seneca	True
Seneca	Lucius Annaeus Seneca Iunior	True
Seneca	Lucius Annaeus Seneca minor	True
Seneca	the Younger Seneca	True
Neville Chamberlain	Arthur Neville Chamberlain	True
Neville Chamberlain	Rt. Hon. Arthur Neville Chamberlain	True
Augusto Pinochet	Augusto José ramón Pinochet Ugarte	True
Augusto Pinochet	Augusto Pinochet Ugarte	True
Jacques Chirac	Jacques René Chirac	True
Ludwig Erhard	Ludwig Wilhelm Erhard	True
Quintus Curtius Rufus	Curtius Rufus	True
Tipu Sultan	Sher e Mysore	True
Tipu Sultan	Sultan Fateh Ali Sahab Tipu	True
Tipu Sultan	Tippoo Sahib	True
Tipu Sultan	Tippoo Saib	True
Tipu Sultan	Tipu Sahab	True
Rahul Gandhi	RG	True
Francis Mitterrand	François Mitterrand	True
Peter Kropotkin	Pyotr Kropotkin	True
Hillary Clinton	Hillary Rodham Clinton	True
Hillary Clinton	First Lady Clinton	True
Hillary Clinton	First Lady Hillary Clinton	True
Hillary Clinton	First Lady Hillary Rodham Clinton	True
Hillary Clinton	Hillary Diane Clinton	True
Hillary Clinton	Hillary Diane Rodham	True
Hillary Clinton	Hillary Diane Rodham Clinton	True
Hillary Clinton	Hillary R. Clinton	True
Hillary Clinton	Hillary Rodham	True
Francis Mitterrand	François Marie Adrien Maurice Mitterrand	True
Peter Kropotkin	P. A. Kropotkin	True
Peter Kropotkin	P. Kropotkin	True
Peter Kropotkin	Peter Alexeivitch Kropotkin	True
Peter Kropotkin	Prince Peter Krapotkin	True
Peter Kropotkin	Pyotr Alexeyevich Kropotkin	True
Michelle Bachelet	Veronica Michelle Bachelet Jeria	True
Michelle Bachelet	Verónica Michelle Bachelet Jeria	True
Nicolas Sarkozy	Nicolas Paul Stéphane Sarközy de Nagy-Bocsa	True
Nicolas Sarkozy	Nicolas Sarközy	True
Nicolas Sarkozy	Sarko	True
Patricio Aylwin	Patricio Aylwin Azocar	True
Patricio Aylwin	Patricio Aylwin Azócar	True
Joe Biden	Biden	True
Christiane Demontès	Christiane Demontes	True
Christiane Demontès	Christiane Demontés	True
Gérard Collomb	Gerard Collomb	True
Élisabeth Lamure	Elisabeth Lamure	True
François Bayrou	Francois Bayrou	True
Napoleon	The Little Corporal	True
Gerhard Schröder	Gerhard Fritz Kurt Schröder	True
Napoleon	Emperador de Francia Napoleón I	True
Napoleon	emperador dels francesos Napoleó I	True
Napoleon	Empereur des Français Napoléon I	True
Napoleon	Little Corporal	True
Napoleon	Napoleon Buonaparte	True
Napoleon	Napoleone Bonaparte	True
Napoleon	Napoleone di Buonaparte	True
Napoleon	Napoleone I	True
Napoleon	Napulione Buonaparte	True
Napoleon	Napulione di Buonaparte	True
Napoleon	the Corsican Napolean	True
Fidel Castro	Castro	True
Adolf Hitler	Führer	True
Andrew Cuomo	Andrew Mark Cuomo	True
Mari Alkatiri	Mari bin Amude Alkatiri	True
Salvador Allende	Salvador Guillermo Allende Gossens	True
Harry S Truman	Harry S. Truman	True
Harry S Truman	Truman	True
Christian Wulff	Christian Wilhelm Walter Wulff	True
Harry S Truman	H. S. Truman	True
Harry S Truman	H. Truman	True
Harry S Truman	Harry Truman	True
Harry S Truman	President Truman	True
Jacob Grimm	Giacomo Grimm	True
Jacob Grimm	Jacob Ludwig Carl Grimm	True
Jacob Grimm	Jacob Ludwig Grimm	True
Jacob Grimm	Jacob Ludwig Karl Grimm	True
Jacob Grimm	Jacob, Freiherr von Grimm	True
Jacob Grimm	Jakob Ludwig Karl Grimm	True
Sandra Day O'Connor	Sandra Day	True
Sandra Day O'Connor	Sandra Day O’Connor	True
Eliot Spitzer	The Sheriff of Wall Street	True
Jon Huntsman, Jr.	Jon Huntsman	True
Jon Huntsman, Jr.	Jon M. Huntsman Jr.	True
Jon Huntsman, Jr.	Jon Meade Huntsman, Jr.	True
José Ramos-Horta	José Manuel Ramos Horta	True
José Ramos-Horta	Jose Ramos-Horta	True
Adolf Hitler	Bohemian Corporal	True
Helmut Kohl	Helmut Josef Michael Kohl	True
Helmut Kohl	Kohl	True
Prince of Hongnong	Hongnongwang	True
Prince of Hongnong	Liu Ban(2)	True
Prince of Hongnong	Liu Bian	True
Prince of Hongnong	Shao Di	True
David Paterson	David Alexander Paterson	True
Fulgencio Batista	Fulgencio Batista y Zaldivar	True
Stephen Breyer	Stephen Gerald Breyer	True
Xanana Gusmão	José Alexandre Gusmão	True
Xanana Gusmão	Kay Rala Xanana Gusmão	True
Nelson Rockefeller	Nelson A. Rockefeller	True
Nelson Rockefeller	Nelson Aldrich Rockefeller	True
Fidel Castro	Fidel Alejandro Castro Ruz	True
Napoleon	Napoleon Bonaparte	True
Napoleon	Napoleon I	True
Rosa Luxemburg	Róża Luksemburg	True
Rosa Luxemburg	Rozalia Luxenburg	True
Olha Saladukha	Olha Saladuha	True
Napoleon	Napoleon I of France	True
Salvador Allende	Allende	True
Napoleon	Napoleone Buonaparte	True
Salvador Allende	Chicho	True
Adolf Hitler	Der Führer	True
Napoleon	Napoléon Bonaparte	True
Jacques Chaban-Delmas	Chaban	True
Anthony Kennedy	Anthony M. Kennedy	True
Anthony Kennedy	Anthony McLeod Kennedy	True
Anthony Kennedy	Justice Anthony Kennedy	True
Adolf Hitler	Hitler	True
Jacques Chaban-Delmas	Jacques Delmas	True
Giuseppe Verdi	Giuseppe Fortunino Francesco Verdi	True
Emperor Jianwen of Jin	Jianwen Di	True
Emperor Jianwen of Jin	Sima Yu	True
Giacomo Puccini	Puccini	True
Margaret Thatcher	Margaret Roberts	True
Emperor Jianwen of Jin	Daowan	True
Pedro I of Brazil	Pedro IV of Portugal	True
Pedro I of Brazil	Pedro IV of Portugal and I of Brazil	True
Pedro I of Brazil	Peter I of Brazil	True
Pedro I of Brazil	Peter IV of Portugal	True
Margaret Thatcher	Baroness Margaret Thatcher	True
Margaret Thatcher	Baroness Thatcher	True
Margaret Thatcher	Baroness Thatcher of Kesteven	True
Margaret Thatcher	Lady Thatcher	True
Margaret Thatcher	Maggie Thatcher	True
Margaret Thatcher	Margaret Hilda Roberts	True
Margaret Thatcher	Margaret Hilda Thatcher	True
Margaret Thatcher	Mrs. T	True
Margaret Thatcher	Mrs. Thatcher	True
Irène Joliot-Curie	Irene Joliot-Curie	True
Gabriel Gonzáles Videla	Gabriel Gonzales Videla	True
Gabriel Gonzáles Videla	Gabriel Gonzalez Videla	True
Gabriel Gonzáles Videla	Gabriel González Videla	True
Richard von Weizsäcker	Richard Karl Freiherr von Weizsäcker	True
Emperor Wen of Sui	Wen Di	True
Emperor Wen of Sui	Gao Zu	True
Angela Merkel	Angela Dorothea Kasner	True
Angela Merkel	Angela Dorothea Merkel	True
Angela Merkel	Angela Kasner	True
Emperor Wen of Sui	Yang Jian	True
Qin Shi Huangdi	Zhao Zheng	True
Qin Shi Huangdi	Ying Zheng	True
Qin Shi Huangdi	Ying Cheng	True
Carlos Ibáñez del Campo	Carlos Ibàñez del Campo	True
Irène Joliot-Curie	Irène Curie	True
Nina Andreyeva	Nina Alexandrovna Andreyeva	True
Giuseppe Garibaldi	Garibaldi	True
Qin Shi Huangdi	Chao Cheng	True
Qin Shi Huangdi	Qin Shi Huang	True
Giuseppe Garibaldi	Giuseppe Maria Garibaldi	True
Giuseppe Garibaldi	Joseph-Marie Garibaldi	True
Michael Bloomberg	Michael R. Bloomberg	True
Michael Bloomberg	Michael Rubens Bloomberg	True
Michael Bloomberg	Mike Bloomberg	True
Giacomo Puccini	Giacomo Antonio Domenico Michele Secondo Maria Puccini	True
Pedro I of Brazil	Pedro I	True
Józef Piłsudski	Jozef Klemens Pilsudski	True
Józef Piłsudski	Józef Klemens Pilsudski	True
Józef Piłsudski	Józef Klemens Piłsudski	True
Ulrich Frédéric Woldemar, Comte de Lowendal	Ulrich Friedrich Woldemar, Greve af Lovendal, Governor of Reval and Estland	True
Emperor Wen of Sui	Naluoyan	True
Emperor Wen of Sui	Yang Jian(8)	True
Emperor Wen of Sui	Yeung Kin	True
Qin Shi Huangdi	Ch'in Shih Huang	True
Qin Shi Huangdi	Ch'in Shih Huang Ti	True
Qin Shi Huangdi	Ch'in Shih Huang-ti	True
Qin Shi Huangdi	Ch'in Shih-huang	True
Qin Shi Huangdi	Ch'in Shih-huang-ti	True
Qin Shi Huangdi	Chi Hoang Ti	True
Qin Shi Huangdi	Chi Hoang-ti	True
Qin Shi Huangdi	Chi-hoang-ti	True
Qin Shi Huangdi	Chin Shi Hwang	True
Qin Shi Huangdi	Chin Shi Hwangti	True
Qin Shi Huangdi	Chin Shih Huang	True
Qin Shi Huangdi	Chin Shih Huang Ti	True
Qin Shi Huangdi	Chin Shih Huang-ti	True
Qin Shi Huangdi	Chin Shih-huang	True
Qin Shi Huangdi	Chin Shih-huang-ti	True
Qin Shi Huangdi	Çin Shi Huangdi	True
Qin Shi Huangdi	First Emperor	True
Qin Shi Huangdi	First Emperor of the Qin	True
Qin Shi Huangdi	Qin Shihuang	True
Qin Shi Huangdi	Shi Huangdi	True
Qin Shi Huangdi	Shih Huang Ti	True
Qin Shi Huangdi	Shih Huang-ti	True
Qin Shi Huangdi	Shih-huang-ti	True
Qin Shi Huangdi	Tsin Shi Hwangti	True
Qin Shi Huangdi	Tsin-Chi-hwangti	True
Emperor Jianwen of Jin	Tai Zong	True
Louis XVI of France	King of France Lodewijk XVI	True
Louis XVI of France	King of France Louis XVI	True
Pedro I of Brazil	Pedro IV	True
James Monroe	J. Monroe	True
James Monroe	President Monroe	True
David Beasley	David Muldrow Beasley	True
Mark Sanford	Marshall C. Sanford Jr	True
Alain Poher	Alain Émile Louis Marie Poher	True
Leopold I of Belgium	King Leopold I of Belgium	True
Leopold I of Belgium	Leopold I	True
Leopold I of Belgium	Leopold I van België	True
Leopold I of Belgium	Leopold of Saxe-Coburg-Gotha	True
Leopold I of Belgium	Leopold of Saxe-Coburg-Saalfeld	True
Leopold I of Belgium	Leopold, King of the Belgians	True
Leopold I of Belgium	Prince Leopold	True
Avempace	Ibn Bâjja	True
Louis XVI of France	Louis XVI	True
Louis XVI of France	Duc de Berry (until 1774) Louis-Auguste	True
Louis XVI of France	King Of France Louis Xvi	True
Louis XVI of France	King of France Ludwik XVI	True
Louis XVI of France	Konge av Frankrike Ludvig XVI	True
Louis XVI of France	König Ludwig XVI. Frankreich	True
Louis XVI of France	koning van Frankrijk Louis XVI	True
Louis XVI of France	Koning van Frankrijk Louis XVI	True
Louis XVI of France	Louis Capet	True
